"datazone","stayer","total","mover","one_year_mover_prop","ten_year_stayer_prop"
"S01000001",793,937,144,0.153681963713981,0.188510681854642
"S01000002",620,752,132,0.175531914893617,0.145123749007147
"S01000003",770,876,106,0.121004566210046,0.275338023192751
"S01000004",591,687,96,0.139737991266376,0.221976724286574
"S01000005",588,726,138,0.190082644628099,0.121452666375635
"S01000006",562,664,102,0.153614457831325,0.188661099878366
"S01000007",802,893,91,0.101903695408735,0.341372941203768
"S01000008",538,634,96,0.151419558359621,0.193611066760476
"S01000009",666,759,93,0.122529644268775,0.270597969071559
"S01000010",529,613,84,0.137030995106036,0.229061433973562
"S01000011",803,947,144,0.152059134107709,0.192156757953272
"S01000012",813,950,137,0.144210526315789,0.210702361476516
"S01000013",847,947,100,0.105596620908131,0.327592773768493
"S01000014",864,1000,136,0.136,0.231812806445088
"S01000015",608,721,113,0.156726768377254,0.181837371749099
"S01000016",478,597,119,0.199329983249581,0.108276860491232
"S01000017",896,991,95,0.0958627648839556,0.365042602310959
"S01000018",538,623,85,0.136436597110754,0.230644068386015
"S01000019",559,622,63,0.101286173633441,0.343727462481544
"S01000020",733,888,155,0.17454954954955,0.146862219938364
"S01000021",761,944,183,0.19385593220339,0.115911526341135
"S01000022",659,745,86,0.115436241610738,0.293286058089506
"S01000023",707,823,116,0.140947752126367,0.218874811892592
"S01000024",428,549,121,0.22040072859745,0.0829304927086368
"S01000025",758,914,156,0.170678336980306,0.153896980514625
"S01000026",869,994,125,0.125754527162978,0.260815814092086
"S01000027",752,857,105,0.122520420070012,0.270626416386213
"S01000028",918,1047,129,0.123209169054441,0.268509709815609
"S01000029",625,744,119,0.15994623655914,0.175013204964229
"S01000030",466,546,80,0.146520146520147,0.205084453539805
"S01000031",794,909,115,0.126512651265127,0.258562889255038
"S01000032",1026,1159,133,0.114754098360656,0.295555637853674
"S01000033",733,845,112,0.132544378698225,0.241252963547151
"S01000034",927,1076,149,0.138475836431227,0.225255097675779
"S01000035",928,1096,168,0.153284671532847,0.189397490658401
"S01000036",657,791,134,0.169405815423515,0.156274767202592
"S01000037",712,898,186,0.207126948775056,0.0981830614424901
"S01000038",816,894,78,0.087248322147651,0.40135289467125
"S01000039",862,1019,157,0.154072620215898,0.187642330490431
"S01000040",918,1034,116,0.112185686653772,0.30424358119461
"S01000041",798,875,77,0.088,0.398059857579335
"S01000042",725,863,138,0.159907300115875,0.175094340404697
"S01000043",709,932,223,0.239270386266094,0.0649087474050079
"S01000044",874,1017,143,0.140609636184857,0.219737812670399
"S01000045",541,619,78,0.126009693053312,0.260055570429976
"S01000046",706,821,115,0.140073081607795,0.221113591772341
"S01000047",646,864,218,0.252314814814815,0.0545993855359716
"S01000048",832,1014,182,0.179487179487179,0.138310041914343
"S01000049",708,811,103,0.127003699136868,0.257112999431469
"S01000050",587,694,107,0.154178674351585,0.187407215486929
"S01000051",757,814,57,0.07002457002457,0.483854457248796
"S01000052",627,733,106,0.144611186903138,0.209717978044804
"S01000053",889,1164,275,0.236254295532646,0.0675286094109369
"S01000054",717,806,89,0.110421836228288,0.310342417327345
"S01000055",682,843,161,0.190984578884935,0.120106911751181
"S01000056",930,1080,150,0.138888888888889,0.22417745303365
"S01000057",646,765,119,0.155555555555556,0.184378733898665
"S01000058",647,747,100,0.133868808567604,0.237594721816083
"S01000059",704,905,201,0.222099447513812,0.0811410828842207
"S01000060",524,675,151,0.223703703703704,0.0794831630318213
"S01000061",879,1017,138,0.135693215339233,0.232637231833843
"S01000062",821,1128,307,0.272163120567376,0.0417196421604922
"S01000063",822,1080,258,0.238888888888889,0.0652349930618387
"S01000064",592,688,96,0.13953488372093,0.222501367685551
"S01000065",778,1097,319,0.290793072014585,0.0321906461467956
"S01000066",693,927,234,0.252427184466019,0.0545173835604406
"S01000067",793,981,188,0.191641182466871,0.119135666656351
"S01000068",723,940,217,0.230851063829787,0.072461018973187
"S01000069",635,746,111,0.148793565683646,0.199686625630176
"S01000070",593,713,120,0.168302945301543,0.158362239634569
"S01000071",675,841,166,0.197384066587396,0.110937345609301
"S01000072",761,868,107,0.123271889400922,0.268317695924747
"S01000073",569,657,88,0.133942161339422,0.237393579182155
"S01000074",685,864,179,0.207175925925926,0.0981224289095709
"S01000075",439,622,183,0.294212218649518,0.0306719477361456
"S01000076",714,801,87,0.108614232209738,0.316706485496445
"S01000077",784,1019,235,0.230618253189401,0.0726806473440916
"S01000078",655,945,290,0.306878306878307,0.0255914512558215
"S01000079",708,1074,366,0.340782122905028,0.015498503412499
"S01000080",735,1075,340,0.316279069767442,0.0223248602175918
"S01000081",820,1030,210,0.203883495145631,0.102274243731623
"S01000082",839,1028,189,0.183852140077821,0.131125893854194
"S01000083",621,830,209,0.251807228915663,0.0549711823370446
"S01000084",634,894,260,0.29082774049217,0.0321749137111758
"S01000085",440,731,291,0.398084815321477,0.00624242014292771
"S01000086",587,849,262,0.308598351001178,0.0249634215178736
"S01000087",549,970,421,0.434020618556701,0.00337292047579623
"S01000088",456,719,263,0.365785813630042,0.0105283308195148
"S01000089",882,1035,153,0.147826086956522,0.201967901650666
"S01000090",650,936,286,0.305555555555556,0.0260840533045888
"S01000091",710,1137,427,0.375549692172383,0.00901527212346061
"S01000092",576,1026,450,0.43859649122807,0.00310993438728911
"S01000093",410,688,278,0.40406976744186,0.00564877380890375
"S01000094",388,706,318,0.45042492917847,0.00251344997212555
"S01000095",556,850,294,0.345882352941176,0.014340313927157
"S01000096",661,737,76,0.103120759837178,0.336774900321688
"S01000097",843,1121,278,0.247992863514719,0.0578388461282989
"S01000098",693,1268,575,0.453470031545741,0.00237760557635386
"S01000099",692,807,115,0.142503097893432,0.214944133990734
"S01000100",509,946,437,0.461945031712474,0.0020336043366882
"S01000101",712,1026,314,0.306042884990253,0.0259015842760639
"S01000102",617,860,243,0.282558139534884,0.0361299306449522
"S01000103",428,715,287,0.401398601398601,0.00590714011295453
"S01000104",745,901,156,0.173140954495006,0.149387692037957
"S01000105",776,955,179,0.187434554973822,0.125482596544921
"S01000106",581,770,189,0.245454545454545,0.0598210555823944
"S01000107",634,1114,480,0.430879712746858,0.00356484515621836
"S01000108",559,807,248,0.30731102850062,0.025432129810985
"S01000109",667,1114,447,0.401256732495512,0.00592115501213014
"S01000110",771,876,105,0.11986301369863,0.27893481185378
"S01000111",613,832,219,0.263221153846154,0.0471380358408248
"S01000112",805,1083,278,0.256694367497692,0.0514842318520609
"S01000113",469,612,143,0.233660130718954,0.0698576875984285
"S01000114",671,1012,341,0.33695652173913,0.0164217742144601
"S01000115",808,935,127,0.135828877005348,0.232272342041014
"S01000116",665,1101,436,0.396003633060854,0.00646164751340457
"S01000117",927,1176,249,0.211734693877551,0.0926241262205074
"S01000118",647,779,132,0.169448010269576,0.156195396522393
"S01000119",605,928,323,0.348060344827586,0.0138699209010276
"S01000120",438,665,227,0.341353383458647,0.0153647200615553
"S01000121",736,839,103,0.122765196662694,0.269872439644294
"S01000122",693,821,128,0.155907429963459,0.183611878968373
"S01000123",585,683,98,0.143484626647145,0.212496423066125
"S01000124",672,1177,505,0.429056924384027,0.00368068034558471
"S01000125",666,1218,552,0.45320197044335,0.0023892929890234
"S01000126",674,1046,372,0.355640535372849,0.0123390612502093
"S01000127",749,865,116,0.134104046242775,0.236950212407274
"S01000128",796,2029,1233,0.607688516510596,8.63595174651376e-05
"S01000129",263,792,529,0.667929292929293,1.63044318190707e-05
"S01000130",667,992,325,0.327620967741935,0.0188860709821968
"S01000131",550,735,185,0.251700680272109,0.0550495158896897
"S01000132",599,948,349,0.368143459915612,0.0101434303278564
"S01000133",665,782,117,0.149616368286445,0.197764767224074
"S01000134",717,839,122,0.145411203814064,0.207764789536469
"S01000135",642,803,161,0.200498132004981,0.106707471193512
"S01000136",663,775,112,0.144516129032258,0.209951150566333
"S01000137",584,954,370,0.387840670859539,0.00739000486130198
"S01000138",587,1007,420,0.41708043694141,0.00452987592763804
"S01000139",768,864,96,0.111111111111111,0.307946147657439
"S01000140",892,1003,111,0.110667996011964,0.309484721302465
"S01000141",719,1116,397,0.35573476702509,0.0123210283769899
"S01000142",707,847,140,0.165289256198347,0.164195040316862
"S01000143",592,672,80,0.119047619047619,0.2815297772404
"S01000144",337,682,345,0.505865102639296,0.000867871170926445
"S01000145",853,967,114,0.11789038262668,0.285249945980444
"S01000146",786,1342,556,0.414307004470939,0.00475007319764304
"S01000147",561,920,359,0.390217391304348,0.00710804779069798
"S01000148",646,757,111,0.14663143989432,0.204817181242802
"S01000149",740,1205,465,0.385892116182573,0.00762863310434006
"S01000150",584,701,117,0.166904422253923,0.161045387777851
"S01000151",847,951,104,0.109358569926393,0.314071793046265
"S01000152",912,1250,338,0.2704,0.0427413517538415
"S01000153",464,689,225,0.32656023222061,0.0191861389975546
"S01000154",534,583,49,0.0840480274442539,0.415649270577313
"S01000155",745,816,71,0.0870098039215686,0.402402935257601
"S01000156",729,1160,431,0.371551724137931,0.00960938051210983
"S01000157",663,826,163,0.197336561743341,0.111003024160565
"S01000158",868,987,119,0.120567375886525,0.276710554772815
"S01000159",857,1098,241,0.219489981785064,0.0839044158396536
"S01000160",771,852,81,0.0950704225352113,0.36825430522838
"S01000161",707,1172,465,0.396757679180887,0.00638143016850617
"S01000162",807,962,155,0.161122661122661,0.172577680185636
"S01000163",960,1090,130,0.119266055045872,0.280832490219758
"S01000164",473,607,134,0.220757825370675,0.0825514102087708
"S01000165",780,936,156,0.166666666666667,0.161505582889846
"S01000166",790,1426,636,0.446002805049088,0.00272317566682843
"S01000167",675,744,69,0.092741935483871,0.3778403830501
"S01000168",910,1019,109,0.106967615309127,0.322605734644295
"S01000169",714,818,104,0.127139364303178,0.256713720589795
"S01000170",688,1231,543,0.44110479285134,0.00297374587789769
"S01000171",730,951,221,0.232386961093586,0.0710269935017331
"S01000172",481,520,39,0.075,0.458582341424737
"S01000173",732,878,146,0.16628701594533,0.162242881706719
"S01000174",697,914,217,0.237417943107221,0.0665067650156182
"S01000175",387,635,248,0.390551181102362,0.00706923464637219
"S01000176",438,939,501,0.533546325878594,0.000487624123162917
"S01000177",477,636,159,0.25,0.0563135147094727
"S01000178",723,795,72,0.0905660377358491,0.38700064280625
"S01000179",706,843,137,0.162514827995255,0.169734945108497
"S01000180",657,736,79,0.107336956521739,0.321273979100921
"S01000181",621,730,109,0.149315068493151,0.198466586680446
"S01000182",817,940,123,0.130851063829787,0.246003921027538
"S01000183",759,1354,595,0.43943870014771,0.00306359333104922
"S01000184",668,871,203,0.233065442020666,0.0704016883994798
"S01000185",661,870,209,0.240229885057471,0.0640946925529569
"S01000186",897,1029,132,0.128279883381924,0.253379037932078
"S01000187",676,772,96,0.124352331606218,0.265029340616282
"S01000188",600,1358,758,0.558173784977909,0.000283475026386257
"S01000189",577,683,106,0.155197657393851,0.185161672408253
"S01000190",827,956,129,0.134937238493724,0.234680050373452
"S01000191",802,1177,375,0.318606627017842,0.0215764034578642
"S01000192",629,911,282,0.309549945115258,0.0246219635880663
"S01000193",741,843,102,0.120996441281139,0.275363474916768
"S01000194",617,856,239,0.279205607476636,0.0378541931316713
"S01000195",632,776,144,0.185567010309278,0.128396613798018
"S01000196",863,1037,174,0.167791706846673,0.159338378495723
"S01000197",579,636,57,0.089622641509434,0.39103396425334
"S01000198",698,835,137,0.164071856287425,0.166605552598065
"S01000199",629,826,197,0.238498789346247,0.0655701204194965
"S01000200",793,898,105,0.116926503340757,0.288382237096375
"S01000201",610,713,103,0.144460028050491,0.210088873117493
"S01000202",755,995,240,0.241206030150754,0.0632759550455896
"S01000203",527,690,163,0.236231884057971,0.0675484277296658
"S01000204",594,703,109,0.155049786628734,0.185486027266572
"S01000205",609,1302,693,0.532258064516129,0.000501260039515146
"S01000206",645,788,143,0.181472081218274,0.135000373940075
"S01000207",801,953,152,0.159496327387198,0.175952788716308
"S01000208",742,952,210,0.220588235294118,0.0827312467124542
"S01000209",875,1101,226,0.205267938237965,0.100509552761129
"S01000210",498,678,180,0.265486725663717,0.045708449427959
"S01000211",618,840,222,0.264285714285714,0.0464613570162122
"S01000212",729,850,121,0.142352941176471,0.215320820485387
"S01000213",588,746,158,0.211796246648794,0.0925518248181298
"S01000214",481,528,47,0.0890151515151515,0.393651162586629
"S01000215",554,854,300,0.351288056206089,0.0131983287083083
"S01000216",585,676,91,0.134615384615385,0.235554660573633
"S01000217",621,790,169,0.213924050632911,0.0900834662833734
"S01000218",681,752,71,0.0944148936170213,0.370930643719483
"S01000219",639,783,144,0.183908045977011,0.131036100667282
"S01000220",671,1959,1288,0.657478305257785,2.22269996028714e-05
"S01000221",798,953,155,0.162644281217209,0.169472761863727
"S01000222",730,811,81,0.0998766954377312,0.349156441863076
"S01000223",483,585,102,0.174358974358974,0.147201639360002
"S01000224",703,809,106,0.131025957972806,0.245509348638605
"S01000225",550,642,92,0.143302180685358,0.212949494878614
"S01000226",566,661,95,0.143721633888048,0.211909153689228
"S01000227",585,710,125,0.176056338028169,0.144203291560645
"S01000228",574,747,173,0.231593038821954,0.0717650357982772
"S01000229",741,857,116,0.135355892648775,0.233546767460812
"S01000230",623,728,105,0.144230769230769,0.210652527070465
"S01000231",702,820,118,0.14390243902439,0.211462127584383
"S01000232",634,711,77,0.108298171589311,0.317831232128101
"S01000233",524,618,94,0.15210355987055,0.19205610590886
"S01000234",703,808,105,0.129950495049505,0.248564808885396
"S01000235",799,983,184,0.187182095625636,0.125873009193672
