General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01000001,491,9,40,2,214,1,8,1,95,4,9,1,182,4,23,-,63,23,8,32,3,3,-,-,-,-,-,-
S01000002,413,4,37,1,194,2,12,-,118,1,10,-,101,1,15,1,36,7,9,20,6,-,6,-,-,-,-,-
S01000003,484,3,34,5,275,1,14,1,140,2,11,-,69,-,9,4,30,15,7,8,-,-,-,-,-,-,-,-
S01000004,410,3,24,3,200,2,12,-,111,-,7,-,99,1,5,3,28,14,5,9,3,-,-,3,-,-,-,-
S01000005,402,1,35,2,170,1,12,1,104,-,11,1,128,-,12,-,52,17,19,16,3,3,-,-,-,-,-,-
S01000006,347,-,27,1,205,-,6,1,69,-,7,-,73,-,14,-,26,6,4,16,3,-,-,3,-,-,-,-
S01000007,526,1,23,1,226,1,7,-,117,-,5,1,183,-,11,-,17,5,2,10,-,-,-,-,-,-,-,-
S01000008,356,1,22,2,241,-,11,-,67,1,7,1,48,-,4,1,32,20,6,6,3,3,-,-,-,-,-,-
S01000009,458,3,21,-,296,2,12,-,101,-,5,-,61,1,4,-,28,18,4,6,6,-,3,3,-,-,-,-
S01000010,370,-,25,-,200,-,12,-,95,-,8,-,75,-,5,-,24,5,13,6,-,-,-,-,-,-,-,-
S01000011,470,5,39,2,116,1,1,1,84,1,7,-,270,3,31,1,34,8,9,17,3,-,3,-,-,-,-,-
S01000012,568,2,38,1,311,-,19,1,126,1,9,-,131,1,10,-,33,6,9,18,4,-,4,-,-,-,-,-
S01000013,543,-,23,2,356,-,7,-,91,-,4,-,96,-,12,2,24,7,8,9,-,-,-,-,-,-,-,-
S01000014,573,-,33,1,337,-,18,1,128,-,7,-,108,-,8,-,40,21,15,4,6,-,3,3,-,-,-,-
S01000015,411,1,24,1,207,1,15,1,124,-,7,-,80,-,2,-,48,25,12,11,4,-,-,4,-,-,-,-
S01000016,308,1,13,1,83,-,1,-,61,-,2,-,164,1,10,1,24,4,4,16,3,-,-,3,-,-,-,-
S01000017,611,3,23,2,389,2,16,-,127,-,6,-,95,1,1,2,28,15,7,6,3,-,3,-,-,-,-,-
S01000018,401,2,20,1,286,1,11,-,68,-,5,1,47,1,4,-,20,13,4,3,-,-,-,-,-,-,-,-
S01000019,369,-,11,-,107,-,4,-,92,-,1,-,170,-,6,-,17,1,2,14,4,-,-,4,-,-,-,-
