area,percent.rents,white.l00,white.m00,white.h00,black.l00,black.m00,black.h00,asian.l00,asian.m00,asian.h00,hisp.l00,hisp.m00,hisp.h00,other.l00,other.m00,other.h00,white.l09,white.m09,white.h09,black.l09,black.m09,black.h09,asian.l09,asian.m09,asian.h09,hisp.l09,hisp.m09,hisp.h09,other.l09,other.m09,other.h09,medval
101110,0.4944649,688,351,92,31,0,0,38,25,26,205,86,24,141,70,16,530,321,191,25,12,0,51,28,40,254,148,53,205,107,28,152300
101120,0.144528,406,379,208,8,3,0,22,19,19,72,35,0,48,19,0,274,295,287,3,9,0,26,22,26,79,48,10,62,29,2,240000
101210,0.8834209,820,247,14,118,0,0,46,61,12,578,107,0,460,69,7,660,309,57,84,54,0,55,67,33,747,245,15,644,114,12,137800
101220,0.6211129,583,171,16,21,0,6,41,6,7,233,44,19,184,33,10,398,171,35,21,0,6,44,6,10,259,59,44,225,39,17,143500
101300,0.1478495,458,523,257,0,8,0,41,29,13,47,52,17,41,34,8,337,422,367,0,7,2,47,36,23,55,61,41,52,52,13,229400
101400,0.267192,543,359,193,6,9,0,43,3,22,114,36,14,66,48,18,387,336,277,2,17,0,49,9,30,125,84,20,92,75,27,220400
102101,0.2855848,328,317,138,19,0,3,32,5,13,125,38,54,69,29,35,203,270,148,20,0,3,32,11,15,146,52,70,88,38,45,263700
102102,0.2021008,531,693,347,15,12,21,48,106,51,215,188,80,122,126,32,427,546,519,12,12,36,55,137,88,243,241,174,150,174,54,199600
103101,0.1378936,273,282,165,1,0,6,8,28,17,53,43,18,38,19,12,177,244,205,1,0,7,8,29,30,65,54,33,51,29,17,201800
103102,0.2961783,568,443,110,5,7,0,50,47,4,151,104,27,97,78,23,406,357,199,2,11,0,56,61,10,178,150,51,132,108,34,161700
103200,0.3650953,688,539,210,52,19,41,69,12,30,105,112,64,94,38,52,510,447,348,32,31,61,84,24,39,126,170,105,145,53,77,212600
103400,0.3611226,959,569,305,30,2,0,47,55,6,244,98,35,164,70,25,688,533,397,23,13,0,57,72,12,285,156,77,228,104,40,183100
104103,0.1306018,32,42,23,119,66,36,8,26,22,168,162,55,86,121,47,21,24,32,87,69,53,6,21,31,171,246,83,97,146,58,160900
104104,0.1523916,138,129,36,105,84,37,11,27,17,166,111,26,85,85,7,87,104,69,77,88,70,8,37,21,184,139,66,103,102,14,159100
104105,0.4918155,96,52,9,104,70,40,57,0,26,662,168,47,434,75,31,96,60,26,104,81,99,66,17,38,1073,378,132,689,143,51,129900
104106,0.5410108,111,22,19,255,75,46,13,33,0,459,144,24,257,104,21,70,39,17,240,83,51,15,36,0,498,246,67,296,125,30,156500
104201,0.2684642,9,2,0,114,73,28,4,0,0,390,185,53,254,139,20,5,5,0,101,74,70,3,1,0,541,336,119,341,201,35,137600
104202,0.3897707,133,28,16,288,67,25,39,28,6,683,303,66,410,212,33,91,56,14,247,82,46,44,29,11,808,466,172,488,278,52,148600
104310,0.2556391,7,0,0,54,47,0,0,4,0,246,177,8,155,131,8,0,0,0,60,37,21,0,5,0,369,288,40,216,193,19,143500
104320,0.464315,17,3,0,165,60,0,41,3,0,611,196,96,376,114,75,5,6,0,150,44,24,40,2,1,730,298,154,441,154,94,138900
104401,0.3220141,18,13,2,9,5,0,0,7,1,457,288,53,219,234,51,0,0,0,5,5,4,0,7,1,400,390,105,253,281,73,144900
104402,0.4616182,51,13,2,9,0,0,7,0,0,637,193,51,405,102,26,0,0,0,5,4,0,6,1,0,626,247,75,440,136,34,140500
104500,0.3528162,50,23,3,12,3,0,14,2,2,472,339,21,330,227,12,0,0,0,8,6,0,12,4,3,529,388,64,377,275,22,142800
104610,0.5338646,1,24,0,1,0,0,2,0,6,500,172,41,283,116,28,0,0,0,0,1,0,3,0,7,521,253,72,360,154,40,136100
104620,0.2918518,36,0,0,2,0,0,9,0,0,415,153,50,246,120,28,0,0,0,1,1,0,8,2,0,453,177,76,288,147,37,137100
104701,0.7696827,10,2,0,51,0,0,6,0,0,663,112,6,415,84,6,0,0,0,49,0,0,6,0,0,729,144,16,484,106,11,135300
104702,0.4229589,171,80,0,203,91,19,21,10,0,819,170,19,534,104,13,96,82,14,190,151,47,24,17,2,1018,377,36,668,173,21,141000
104810,0.3162879,72,41,15,8,10,0,17,11,5,525,277,72,304,179,61,0,0,0,9,8,0,16,9,7,551,362,138,339,212,80,134000
104820,0.6004804,100,28,0,19,0,0,96,13,16,721,227,16,408,186,5,33,9,6,19,1,0,106,18,16,858,355,65,496,234,15,154200
106010,0.2944785,190,168,116,73,34,22,10,40,5,360,176,82,194,125,46,120,167,137,55,62,24,12,42,12,375,334,154,241,182,68,200600
106020,0.2407045,220,197,107,28,16,18,18,27,27,415,252,169,270,177,92,158,165,150,14,24,29,22,22,42,514,371,296,350,240,130,173400
106111,0.1084543,248,280,71,13,36,8,18,35,11,152,174,103,81,101,88,192,219,162,4,31,33,19,34,23,155,277,179,115,143,125,180100
106112,0.1713316,219,169,56,7,29,18,7,14,4,228,341,71,176,208,37,150,159,91,3,36,25,10,16,7,273,503,208,243,306,65,158600
106113,0.1888466,76,142,80,39,0,0,3,25,0,175,199,43,67,141,39,64,104,87,17,24,0,4,21,8,208,237,123,86,176,62,164200
106114,0.5221675,250,88,0,77,34,0,21,18,0,520,328,62,335,207,41,175,83,13,75,29,17,22,24,0,599,474,137,417,258,58,125500
