datazone,Inflow|All people in households|Lived at same address,Inflow|All people in households|Moved within Datazone area,Inflow|All people in households|Inflow (lived elsewhere in Scotland),Inflow|All people in households|Inflow (lived elsewhere outside Scotland but within UK),Inflow|All people in communal establishments|Lived at same address,Inflow|All people in communal establishments|Moved within Datazone area,Inflow|All people in communal establishments|Inflow (lived elsewhere in Scotland),Inflow|All people in communal establishments|Inflow (lived elsewhere outside Scotland but within UK),Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in households|,Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in communal establishments|,Outflow - Moved to England & Wales All people in households|Outflow - Moved to England & Wales All people in households|,Outflow - Moved to England & Wales All people in communal establishments|Outflow - Moved to England & Wales All people in communal establishments|,Outflow - Moved to NI All people in households|Outflow - Moved to NI All people in households|,Outflow - Moved to NI All people in communal establishments|Outflow - Moved to NI All people in communal establishments|
S01000001,759,18,47,5,16,-,2,-,83,4,3,-,-,-
S01000002,614,6,61,3,-,-,-,-,55,1,12,-,-,-
S01000003,765,5,52,6,-,-,-,-,47,1,-,-,-,-
S01000004,588,3,43,3,-,-,-,-,47,-,3,-,-,-
S01000005,585,3,56,4,-,-,-,-,74,1,3,-,-,-
S01000006,543,-,47,1,19,-,13,1,36,1,3,-,-,-
S01000007,780,2,39,2,20,-,6,1,37,3,3,-,-,-
S01000008,537,1,40,3,-,-,-,-,52,1,-,-,-,-
S01000009,657,5,43,-,4,-,-,-,43,4,3,-,-,-
S01000010,529,-,36,1,-,-,-,-,43,4,-,-,-,-
S01000011,756,11,63,4,35,1,5,-,56,9,7,-,-,-
S01000012,808,4,58,2,1,-,1,-,67,1,8,-,-,-
S01000013,847,-,38,7,-,-,-,-,51,4,-,-,-,-
S01000014,863,1,48,1,-,-,-,-,76,3,8,-,-,-
S01000015,607,1,45,1,-,-,-,-,63,-,4,-,-,-
S01000016,474,2,38,5,2,-,-,2,59,12,-,3,-,-
S01000017,889,7,38,3,-,-,-,-,48,-,3,-,3,-
S01000018,533,5,36,3,-,-,-,-,46,-,-,-,-,-
S01000019,559,-,21,-,-,-,-,-,30,3,9,-,-,-
S01000020,671,17,63,12,44,1,25,2,40,5,8,-,-,-
S01000021,752,9,90,7,-,-,-,-,73,1,12,-,-,-
S01000022,658,1,36,2,-,-,-,-,33,6,5,4,-,-
S01000023,701,6,47,19,-,-,-,-,45,2,-,3,-,-
S01000024,406,3,48,23,19,-,4,1,33,3,6,3,-,-
S01000025,741,2,51,17,15,-,5,-,52,6,22,3,-,-
S01000026,863,6,56,1,-,-,-,-,61,7,-,-,-,-
S01000027,748,4,44,8,-,-,-,-,45,2,6,-,-,-
S01000028,911,7,49,-,-,-,-,-,71,3,3,-,3,-
S01000029,619,6,47,14,-,-,-,-,47,4,7,-,-,-
S01000030,461,5,34,-,-,-,-,-,41,5,-,-,-,-
S01000031,790,4,46,6,-,-,-,-,49,5,6,3,-,-
S01000032,1025,1,60,-,-,-,-,-,69,4,-,-,-,-
S01000033,729,4,62,-,-,-,-,-,47,3,-,-,-,-
S01000034,854,2,43,10,71,-,16,-,50,18,12,-,-,-
S01000035,917,11,73,1,-,-,-,-,76,4,14,-,-,-
S01000036,650,4,47,-,3,-,30,1,47,3,6,-,-,-
S01000037,662,5,65,3,45,-,18,-,93,4,3,-,-,-
S01000038,813,2,38,-,1,-,6,-,31,-,3,-,-,-
S01000039,859,3,73,3,-,-,-,-,75,2,4,-,-,-
S01000040,918,-,50,2,-,-,-,-,60,1,-,-,3,-
S01000041,786,1,26,5,11,-,-,-,37,6,3,-,-,-
S01000042,723,2,63,1,-,-,-,-,67,4,3,-,-,-
S01000043,704,5,106,15,-,-,-,-,87,9,6,-,-,-
S01000044,864,5,72,2,5,-,-,-,51,5,6,7,-,-
S01000045,535,6,35,2,-,-,-,-,41,-,-,-,-,-
S01000046,706,-,51,2,-,-,5,-,53,4,-,-,-,-
S01000047,642,4,93,12,-,-,5,3,87,7,11,-,-,-
S01000048,831,1,68,4,-,-,-,-,90,3,17,-,-,-
S01000049,678,7,48,1,23,-,4,-,37,2,7,4,-,-
S01000050,557,4,20,2,24,2,4,-,33,42,6,-,-,-
S01000051,754,3,27,-,-,-,-,-,28,2,-,-,-,-
S01000052,623,4,45,5,-,-,-,-,53,3,-,-,-,-
S01000053,848,3,123,19,37,1,5,-,99,11,18,-,-,-
S01000054,717,-,44,-,-,-,-,-,27,6,12,-,-,-
S01000055,654,1,53,2,27,-,16,-,89,1,-,-,-,-
S01000056,929,1,64,8,-,-,-,-,58,1,16,3,-,-
S01000057,646,-,51,2,-,-,-,-,64,2,-,-,-,-
S01000058,640,2,31,11,5,-,2,-,44,3,9,-,-,-
S01000059,687,-,71,13,17,-,4,-,86,15,12,-,-,-
S01000060,522,2,51,1,-,-,-,-,93,6,-,-,-,-
S01000061,865,9,48,12,5,-,-,-,61,5,9,3,-,-
S01000062,813,7,144,14,1,-,-,-,136,3,10,-,-,-
S01000063,817,4,94,5,1,-,38,-,91,10,17,-,3,-
S01000064,584,8,54,2,-,-,-,-,39,1,-,-,-,-
S01000065,769,4,150,12,5,-,-,1,145,-,11,-,-,-
S01000066,652,7,78,7,34,-,12,4,112,16,5,-,-,-
S01000067,787,3,78,17,3,-,-,-,61,18,11,3,-,-
S01000068,690,6,81,18,27,-,11,-,83,7,17,-,-,-
S01000069,635,-,46,1,-,-,-,-,61,3,-,-,-,-
S01000070,589,4,47,6,-,-,-,-,55,3,9,-,-,-
S01000071,674,1,62,2,-,-,-,-,96,3,3,-,-,-
S01000072,760,1,52,7,-,-,-,-,41,3,4,-,-,-
S01000073,559,2,44,4,8,-,-,-,20,5,12,3,-,-
S01000074,645,40,75,-,-,-,-,-,98,6,-,-,-,-
S01000075,437,2,95,10,-,-,-,-,68,2,8,-,-,-
S01000076,711,3,49,4,-,-,-,-,33,1,-,-,-,-
S01000077,777,-,101,17,7,-,1,-,90,2,24,-,-,-
S01000078,649,6,152,4,-,-,-,-,126,4,4,-,-,-
S01000079,683,9,177,18,16,-,15,1,126,3,23,3,-,-
S01000080,732,2,159,17,1,-,-,-,140,4,17,3,-,-
S01000081,817,3,83,10,-,-,-,-,88,7,19,3,-,-
S01000082,814,8,92,1,16,1,9,-,74,9,4,-,-,-
S01000083,607,14,110,6,-,-,-,-,80,6,4,3,-,-
S01000084,625,6,101,4,3,-,6,-,132,8,6,3,-,-
S01000085,433,5,132,17,2,-,10,-,116,2,14,-,-,-
S01000086,545,1,103,18,41,-,6,3,110,7,15,-,-,-
S01000087,506,2,45,7,40,1,141,19,189,6,10,4,-,-
S01000088,442,2,138,25,12,-,6,-,58,7,26,3,-,-
S01000089,839,14,82,6,29,-,11,1,43,4,6,-,-,-
S01000090,647,3,106,10,-,-,-,-,146,3,21,-,-,-
S01000091,643,11,209,22,56,-,9,2,155,8,15,7,-,-
S01000092,571,5,237,22,-,-,-,-,163,4,21,3,-,-
S01000093,408,1,120,4,1,-,12,-,122,6,14,-,-,-
S01000094,381,7,150,23,-,-,-,-,115,1,29,-,-,-
S01000095,553,3,124,14,-,-,-,-,132,6,18,-,-,-
S01000096,661,-,33,5,-,-,-,-,32,3,3,-,-,-
S01000097,816,-,100,22,27,-,11,1,99,14,31,-,-,-
S01000098,601,12,240,30,80,-,27,-,244,6,19,9,-,-
S01000099,689,3,59,6,-,-,-,-,38,3,6,3,-,-
S01000100,460,13,180,21,36,-,29,-,178,5,24,-,-,-
S01000101,709,3,117,28,-,-,-,-,129,10,30,-,-,-
S01000102,617,-,111,10,-,-,-,-,105,3,14,-,-,-
S01000103,424,4,148,20,-,-,-,-,90,4,25,-,-,-
S01000104,716,1,69,6,28,-,16,-,50,9,3,3,-,-
S01000105,771,5,92,9,-,-,-,-,74,1,-,3,-,-
S01000106,581,-,69,18,-,-,-,-,76,7,15,4,-,-
S01000107,628,6,217,27,-,-,-,-,189,7,30,7,3,-
S01000108,526,3,98,9,30,-,27,-,88,8,15,-,3,-
S01000109,653,8,191,13,6,-,4,-,200,10,29,-,-,-
S01000110,747,5,45,2,19,-,1,-,40,11,6,-,-,-
S01000111,603,2,105,13,8,-,-,-,87,2,8,4,-,-
S01000112,790,15,143,10,-,-,-,-,109,2,11,-,3,-
S01000113,464,5,51,5,-,-,-,-,60,2,19,-,6,-
S01000114,580,2,45,-,88,1,155,3,111,23,4,-,-,-
S01000115,801,7,58,2,-,-,-,-,62,2,3,-,-,-
S01000116,657,2,193,25,6,-,2,-,177,4,32,3,-,-
S01000117,876,-,90,7,50,1,16,2,105,14,12,3,-,-
S01000118,621,1,49,2,25,-,5,-,67,2,7,-,-,-
S01000119,602,3,159,11,-,-,-,-,137,4,9,-,3,-
S01000120,437,1,120,6,-,-,-,-,83,9,6,-,3,-
